見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
の,の,の,助詞,接続助詞,NIL,0,7
うしろ,うしろ,うしろ,名詞,普通名詞,代表表記:後ろ/うしろ カテゴリ:場所-機能,0,7
に,に,に,助詞,格助詞,NIL,0,7
立って,たって,立つ,動詞,*,代表表記:立つ/たつ 反義:動詞:座る/すわる 自他動詞:他:立てる/たてる 付属動詞候補（基本）,0,7
ニコニコ,にこにこ,ニコニコ,副詞,*,代表表記:ニコニコ/にこにこ スル接続可能,0,7
笑って,わらって,笑う,動詞,*,代表表記:笑う/わらう 反義:動詞:泣く/なく,0,7
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,7
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,7
。,。,。,特殊,句点,NIL,0,7
歳,さい,歳,接尾辞,名詞性名詞助数辞,代表表記:歳/さい 準内容語,0,8
は,は,は,助詞,副助詞,NIL,0,8
五十,五十,五十,名詞,地名,代表表記:五十/五十 地名:日本 DEV:prefix2,0,8
ぐらい,ぐらい,ぐらい,助詞,副助詞,代表表記:くらい/くらい,0,8
でしょう,でしょう,だ,判定詞,*,NIL,0,8
か,か,か,助詞,終助詞,NIL,0,8
。,。,。,特殊,句点,NIL,0,8
黒い,くろい,黒い,形容詞,*,代表表記:黒い/くろい 名詞派生:黒/くろ,0,9
洋服,ようふく,洋服,名詞,普通名詞,代表表記:洋服/ようふく ドメイン:家庭・暮らし カテゴリ:人工物-衣類,0,9
を,を,を,助詞,格助詞,NIL,0,9
着て,きて,着る,動詞,*,代表表記:着る/きる ドメイン:家庭・暮らし 反義:動詞:脱ぐ/ぬぐ,0,9
、,、,、,特殊,読点,NIL,0,9
その,その,その,指示詞,連体詞形態指示詞,NIL,0,9
上,うえ,上,名詞,副詞的名詞,代表表記:上/うえ,0,9
に,に,に,助詞,格助詞,NIL,0,9
、,、,、,特殊,読点,NIL,0,9
うすい,うすい,うすい,形容詞,*,代表表記:薄い/うすい 反義:形容詞:厚い/あつい;形容詞:濃い/こい,0,9
ラシャ,ラシャ,ラシャ,名詞,普通名詞,自動獲得:Wikipedia,0,9
で,で,で,助詞,格助詞,NIL,0,9
できた,できた,できる,動詞,*,代表表記:出来る/できる,0,9
、,、,、,特殊,読点,NIL,0,9
そで,そで,そで,名詞,普通名詞,代表表記:袖/そで カテゴリ:人工物-衣類,0,9
の,の,の,助詞,接続助詞,NIL,0,9
ヒラヒラ,ひらひら,ヒラヒラ,副詞,*,代表表記:ヒラヒラ/ひらひら スル接続可能,0,9
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,9
外とう,がいとう,外とう,名詞,普通名詞,代表表記:外套/がいとう ドメイン:家庭・暮らし カテゴリ:人工物-衣類,0,9
を,を,を,助詞,格助詞,NIL,0,9
はおって,はおって,はおる,動詞,*,代表表記:羽織る/はおる 名詞派生:羽織/はおり,0,9
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,9
ます,ます,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,9
。,。,。,特殊,句点,NIL,0,9
オーバーで,おーばーで,オーバーだ,形容詞,*,代表表記:オーバーだ/おーばーだ,0,10
は,は,は,助詞,副助詞,NIL,0,10
なくて,なくて,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,10
