見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
夜ふかし,よふかし,夜ふかし,名詞,サ変名詞,代表表記:夜更かし/よふかし ドメイン:家庭・暮らし カテゴリ:抽象物,きもだめしの会,0,7
を,を,を,助詞,格助詞,NIL,きもだめしの会,0,7
し,し,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,きもだめしの会,0,7
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,きもだめしの会,0,7
ように,ように,ようだ,助動詞,*,NIL,きもだめしの会,0,7
、,、,、,特殊,読点,NIL,きもだめしの会,0,7
こころがけて,こころがけて,こころがける,動詞,*,代表表記:心掛ける/こころがける,きもだめしの会,0,7
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,きもだめしの会,0,7
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,きもだめしの会,0,7
。,。,。,特殊,句点,NIL,きもだめしの会,0,7
でも,でも,でも,接続詞,*,代表表記:でも/でも,きもだめしの会,0,8
、,、,、,特殊,読点,NIL,きもだめしの会,0,8
事件,じけん,事件,名詞,普通名詞,代表表記:事件/じけん ドメイン:政治 カテゴリ:抽象物,きもだめしの会,0,8
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,8
、,、,、,特殊,読点,NIL,きもだめしの会,0,8
夜,よ,夜,名詞,時相名詞,代表表記:夜/よ カテゴリ:時間 漢字読み:訓,きもだめしの会,0,8
おこる,おこる,おこる,動詞,*,代表表記:怒る/おこる,きもだめしの会,0,8
こと,こと,こと,名詞,形式名詞,NIL,きもだめしの会,0,8
が,が,が,助詞,格助詞,NIL,きもだめしの会,0,8
おおい,おおい,おおい,形容詞,*,代表表記:多い/おおい 反義:形容詞:少ない/すくない,きもだめしの会,0,8
ので,ので,のだ,助動詞,*,NIL,きもだめしの会,0,8
、,、,、,特殊,読点,NIL,きもだめしの会,0,8
夜ふけ,よふけ,夜ふけ,名詞,普通名詞,代表表記:夜更け/よふけ カテゴリ:時間,きもだめしの会,0,8
に,に,に,助詞,格助詞,NIL,きもだめしの会,0,8
はたらか,はたらか,はたらく,動詞,*,代表表記:働く/はたらく ドメイン:家庭・暮らし;ビジネス,きもだめしの会,0,8
なければ,なければ,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,きもだめしの会,0,8
なら,なら,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,きもだめしの会,0,8
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,きもだめしの会,0,8
とき,とき,とき,名詞,副詞的名詞,代表表記:時/とき,きもだめしの会,0,8
に,に,に,助詞,格助詞,NIL,きもだめしの会,0,8
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,8
、,、,、,特殊,読点,NIL,きもだめしの会,0,8
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,きもだめしの会,0,8
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,きもだめしの会,0,8
団,だん,団,名詞,普通名詞,代表表記:団/だん カテゴリ:組織・団体 漢字読み:音,きもだめしの会,0,8
で,で,だ,判定詞,*,NIL,きもだめしの会,0,8
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,8
なくて,なくて,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,きもだめしの会,0,8
、,、,、,特殊,読点,NIL,きもだめしの会,0,8
チンピラ,ちんぴら,チンピラ,名詞,普通名詞,代表表記:チンピラ/ちんぴら カテゴリ:人,きもだめしの会,0,8
別働隊,別働隊,別働隊,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:ガメラ３邪神覚醒 読み不明,きもだめしの会,0,8
を,を,を,助詞,格助詞,NIL,きもだめしの会,0,8
つかう,つかう,つかう,動詞,*,代表表記:使う/つかう,きもだめしの会,0,8
こと,こと,こと,名詞,形式名詞,NIL,きもだめしの会,0,8
に,に,に,助詞,格助詞,NIL,きもだめしの会,0,8
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,きもだめしの会,0,8
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,きもだめしの会,0,8
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,きもだめしの会,0,8
。,。,。,特殊,句点,NIL,きもだめしの会,0,8
チンピラ,ちんぴら,チンピラ,名詞,普通名詞,代表表記:チンピラ/ちんぴら カテゴリ:人,きもだめしの会,0,9
隊,たい,隊,名詞,普通名詞,代表表記:隊/たい カテゴリ:組織・団体 漢字読み:音,きもだめしの会,0,9
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,9
、,、,、,特殊,読点,NIL,きもだめしの会,0,9
『,『,『,特殊,括弧始,NIL,きもだめしの会,0,9
アリ,あり,アリ,名詞,普通名詞,代表表記:蟻/あり カテゴリ:動物,きもだめしの会,0,9
の,の,の,助詞,接続助詞,NIL,きもだめしの会,0,9
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,きもだめしの会,0,9
』,』,』,特殊,括弧終,NIL,きもだめしの会,0,9
で,で,で,助詞,格助詞,NIL,きもだめしの会,0,9
、,、,、,特殊,読点,NIL,きもだめしの会,0,9
くず,くず,くず,名詞,普通名詞,代表表記:クズ/くず カテゴリ:人工物-その他,きもだめしの会,0,9
ひろい,ひろい,ひろい,名詞,普通名詞,代表表記:拾い/ひろいv 反義:動詞:捨てる/すてる 連用形名詞化:拾う/ひろう,きもだめしの会,0,9
を,を,を,助詞,格助詞,NIL,きもだめしの会,0,9
やって,やって,やる,動詞,*,代表表記:やる/やる 付属動詞候補（タ系）,きもだめしの会,0,9
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,きもだめしの会,0,9
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,きもだめしの会,0,9
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,きもだめしの会,0,9
で,で,だ,判定詞,*,NIL,きもだめしの会,0,9
、,、,、,特殊,読点,NIL,きもだめしの会,0,9
夜,よ,夜,名詞,時相名詞,代表表記:夜/よ カテゴリ:時間 漢字読み:訓,きもだめしの会,0,9
の,の,の,助詞,接続助詞,NIL,きもだめしの会,0,9
冒険,ぼうけん,冒険,名詞,サ変名詞,代表表記:冒険/ぼうけん カテゴリ:抽象物,きもだめしの会,0,9
なんか,なんか,なんか,助詞,副助詞,NIL,きもだめしの会,0,9
、,、,、,特殊,読点,NIL,きもだめしの会,0,9
へいきです,へいきです,へいきだ,形容詞,*,代表表記:平気だ/へいきだ,きもだめしの会,0,9
から,から,から,助詞,接続助詞,NIL,きもだめしの会,0,9
、,、,、,特殊,読点,NIL,きもだめしの会,0,9
つごう,つごう,つごう,副詞,*,代表表記:都合/つごう,きもだめしの会,0,9
が,が,が,助詞,格助詞,NIL,きもだめしの会,0,9
いい,いい,いい,形容詞,*,代表表記:良い/よい 反義:形容詞:悪い/わるい,きもだめしの会,0,9
のです,のです,のだ,助動詞,*,NIL,きもだめしの会,0,9
。,。,。,特殊,句点,NIL,きもだめしの会,0,9
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,きもだめしの会,0,10
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,きもだめしの会,0,10
団員,だんいん,団員,名詞,普通名詞,代表表記:団員/だんいん カテゴリ:人,きもだめしの会,0,10
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,きもだめしの会,0,10
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,10
、,、,、,特殊,読点,NIL,きもだめしの会,0,10
