見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
って,って,って,助詞,副助詞,NIL,8,23
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,8,23
んだ,んだ,んだ,助動詞,*,NIL,8,23
よ,よ,よ,助詞,終助詞,NIL,8,23
」,」,」,特殊,括弧終,NIL,8,23
。,。,。,特殊,句点,NIL,8,23
みんな,みんな,みんな,副詞,*,代表表記:皆/みんな 修飾（デ格）,8,24
が,が,が,助詞,格助詞,NIL,8,24
ガヤガヤ,がやがや,ガヤガヤ,副詞,*,代表表記:ガヤガヤ/がやがや スル接続可能,8,24
言って,いって,言う,動詞,*,代表表記:言う/いう 補文ト,8,24
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,8,24
あいだ,あいだ,あいだ,名詞,副詞的名詞,代表表記:間/あいだ,8,24
に,に,に,助詞,格助詞,NIL,8,24
、,、,、,特殊,読点,NIL,8,24
その,その,その,指示詞,連体詞形態指示詞,NIL,8,24
銀色,ぎんいろ,銀色,名詞,普通名詞,代表表記:銀色/ぎんいろ カテゴリ:色,8,24
の,の,の,助詞,格助詞,NIL,8,24
大,だい,大,接頭辞,名詞接頭辞,代表表記:大/だい 反義:接頭辞-名詞接頭辞:小/しょう 内容語 換言:+N:Nが大きい,8,24
ふうせん,ふうせん,ふうせん,名詞,普通名詞,代表表記:風船/ふうせん カテゴリ:人工物-その他,8,24
は,は,は,助詞,副助詞,NIL,8,24
、,、,、,特殊,読点,NIL,8,24
風,かぜ,風,名詞,普通名詞,代表表記:風/かぜ カテゴリ:抽象物 漢字読み:訓,8,24
に,に,に,助詞,格助詞,NIL,8,24
おくら,おくら,おくる,動詞,*,代表表記:贈る/おくる,8,24
れて,れて,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,8,24
、,、,、,特殊,読点,NIL,8,24
グングン,ぐんぐん,グングン,副詞,*,代表表記:グングン/ぐんぐん スル接続可能,8,24
ちかづいて,ちかづいて,ちかづく,動詞,*,代表表記:近付く/ちかづく 反義:動詞:遠ざかる/とおざかる;動詞:遠退く/とおのく 自他動詞:他:近付ける/ちかづける,8,24
き,き,くる,接尾辞,動詞性接尾辞,代表表記:くる/くる,8,24
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,8,24
。,。,。,特殊,句点,NIL,8,24
「,「,「,特殊,括弧始,NIL,8,25
やあ,やあ,やあ,感動詞,*,代表表記:やあ/やあ,8,25
、,、,、,特殊,読点,NIL,8,25
へんだ,へんだ,へんだ,形容詞,*,代表表記:変だ/へんだ,8,25
なあ,なあ,なあ,助詞,終助詞,NIL,8,25
。,。,。,特殊,句点,NIL,8,25
つな,つな,つな,名詞,普通名詞,代表表記:綱/つな カテゴリ:人工物-その他 漢字読み:訓,8,26
に,に,に,助詞,格助詞,NIL,8,26
人間,にんげん,人間,名詞,普通名詞,代表表記:人間/にんげん カテゴリ:人,8,26
が,が,が,助詞,格助詞,NIL,8,26
ぶらさがって,ぶらさがって,ぶらさがる,動詞,*,代表表記:ぶら下がる/ぶらさがる 自他動詞:他:ぶら下げる/ぶらさげる,8,26
ら,ら,ら,接尾辞,名詞性名詞接尾辞,代表表記:ら/ら,8,26
あ,あ,あ,感動詞,*,代表表記:あ/あ,8,26
。,。,。,特殊,句点,NIL,8,26
まっ,まっ,まっ,接頭辞,名詞接頭辞,代表表記:真っ/まっ 内容語,8,27
黒,くろ,黒,名詞,普通名詞,代表表記:黒/くろ カテゴリ:色 漢字読み:訓,8,27
な,な,だ,判定詞,*,NIL,8,27
人間,にんげん,人間,名詞,普通名詞,代表表記:人間/にんげん カテゴリ:人,8,27
が,が,が,助詞,格助詞,NIL,8,27
、,、,、,特殊,読点,NIL,8,27
ぶらさがって,ぶらさがって,ぶらさがる,動詞,*,代表表記:ぶら下がる/ぶらさがる 自他動詞:他:ぶら下げる/ぶらさげる,8,27
ら,ら,ら,接尾辞,名詞性名詞接尾辞,代表表記:ら/ら,8,27
あ,あ,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,8,27
」,」,」,特殊,括弧終,NIL,8,27
。,。,。,特殊,句点,NIL,8,27
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,8,28
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,8,28
は,は,は,助詞,副助詞,NIL,8,28
、,、,、,特殊,読点,NIL,8,28
怪人,かいじん,怪人,名詞,普通名詞,代表表記:怪人/かいじん カテゴリ:人,8,28
四十,四十,四十,名詞,数詞,カテゴリ:数量 未知語:数字,8,28
面相,面相,面相,名詞,普通名詞,自動獲得:Wikipedia Wikipediaページ内一覧:中国文明 読み不明,8,28
が,が,が,助詞,格助詞,NIL,8,28
、,、,、,特殊,読点,NIL,8,28
アドバルーン,アドバルーン,アドバルーン,名詞,普通名詞,自動獲得:Wikipedia,8,28
に,に,に,助詞,格助詞,NIL,8,28
つかまって,つかまって,つかまる,動詞,*,代表表記:捕まる/つかまる 自他動詞:他:捕まえる/つかまえる,8,28
逃げた,にげた,逃げる,動詞,*,代表表記:逃げる/にげる 自他動詞:他:逃がす/にがす,8,28
こと,こと,こと,名詞,形式名詞,NIL,8,28
を,を,を,助詞,格助詞,NIL,8,28
、,、,、,特殊,読点,NIL,8,28
まだ,まだ,まだ,副詞,*,代表表記:まだ/まだ,8,28
知り,しり,知る,動詞,*,代表表記:知る/しる 自他動詞:自:知れる/しれる 補文ト,8,28
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,8,28
ん,ん,ぬ,助動詞,*,NIL,8,28
。,。,。,特殊,句点,NIL,8,28
ですから,ですから,ですから,接続詞,*,代表表記:ですから/ですから,8,29
、,、,、,特殊,読点,NIL,8,29
まっ,まっ,まっ,接頭辞,名詞接頭辞,代表表記:真っ/まっ 内容語,8,29
黒,くろ,黒,名詞,普通名詞,代表表記:黒/くろ カテゴリ:色 漢字読み:訓,8,29
な,な,だ,判定詞,*,NIL,8,29
人間,にんげん,人間,名詞,普通名詞,代表表記:人間/にんげん カテゴリ:人,8,29
の,の,の,助詞,格助詞,NIL,8,29
さがった,さがった,さがる,動詞,*,代表表記:下がる/さがる 自他動詞:他:下げる/さげる,8,29
ふうせん,ふうせん,ふうせん,名詞,普通名詞,代表表記:風船/ふうせん カテゴリ:人工物-その他,8,29
が,が,が,助詞,格助詞,NIL,8,29
、,、,、,特殊,読点,NIL,8,29
とんで,とんで,とぶ,動詞,*,代表表記:翔ぶ/とぶ,8,29
きた,きた,くる,接尾辞,動詞性接尾辞,代表表記:くる/くる,8,29
の,の,の,名詞,形式名詞,NIL,8,29
が,が,が,助詞,格助詞,NIL,8,29
、,、,、,特殊,読点,NIL,8,29
ふしぎで,ふしぎで,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,8,29
しかた,しかた,しかた,名詞,普通名詞,代表表記:仕方/しかた カテゴリ:抽象物,8,29
が,が,が,助詞,格助詞,NIL,8,29
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,8,29
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,8,29
ん,ん,ぬ,助動詞,*,NIL,8,29
でした,でした,だ,判定詞,*,NIL,8,29
。,。,。,特殊,句点,NIL,8,29
あまり,あまり,あまり,副詞,*,代表表記:余り/あまり 形容詞派生:余りだ/あまりだ 修飾（ニ格） 数量修飾,8,30
、,、,、,特殊,読点,NIL,8,30
さわがしい,さわがしい,さわがしい,形容詞,*,代表表記:騒がしい/さわがしい,8,30
ので,ので,のだ,助動詞,*,NIL,8,30
、,、,、,特殊,読点,NIL,8,30
先生,せんせい,先生,名詞,普通名詞,代表表記:先生/せんせい ドメイン:教育・学習 カテゴリ:人 人名末尾,8,30
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,8,30
も,も,も,助詞,副助詞,NIL,8,30
、,、,、,特殊,読点,NIL,8,30
校庭,こうてい,校庭,名詞,普通名詞,代表表記:校庭/こうてい ドメイン:教育・学習 カテゴリ:場所-施設,8,30
へ,へ,へ,助詞,格助詞,NIL,8,30
出て,でて,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,8,30
こら,こら,こる,動詞,*,代表表記:凝る/こる 自他動詞:他:凝らす/こらす;他:凝らせる/こらせる,8,30
れ,れ,れる,接尾辞,動詞性接尾辞,代表表記:れる/れる,8,30
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,8,30
が,が,が,助詞,接続助詞,NIL,8,30
、,、,、,特殊,読点,NIL,8,30
先生,せんせい,先生,名詞,普通名詞,代表表記:先生/せんせい ドメイン:教育・学習 カテゴリ:人 人名末尾,8,30
に,に,に,助詞,格助詞,NIL,8,30
も,も,も,助詞,副助詞,NIL,8,30
わけ,わけ,わけ,名詞,形式名詞,NIL,8,30
が,が,が,助詞,格助詞,NIL,8,30
わかり,わかり,わかる,動詞,*,代表表記:分かる/わかる,8,30
ませ,ませ,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,8,30
ん,ん,ぬ,助動詞,*,NIL,8,30
。,。,。,特殊,句点,NIL,8,30
みんな,みんな,みんな,副詞,*,代表表記:皆/みんな 修飾（デ格）,8,31
と,と,と,助詞,格助詞,NIL,8,31
いっしょに,いっしょに,いっしょだ,形容詞,*,代表表記:一緒だ/いっしょだ,8,31
、,、,、,特殊,読点,NIL,8,31
空,から,空,名詞,普通名詞,代表表記:空/から カテゴリ:抽象物 漢字読み:訓,8,31
を,を,を,助詞,格助詞,NIL,8,31
ながめて,ながめて,ながめる,動詞,*,代表表記:眺める/ながめる,8,31
、,、,、,特殊,読点,NIL,8,31
ふしぎ,ふしぎ,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,8,31
がる,がる,がる,接尾辞,動詞性接尾辞,代表表記:がる/がる,8,31
ばかりです,ばかりです,ばかりだ,助動詞,*,NIL,8,31
。,。,。,特殊,句点,NIL,8,31
大,だい,大,接頭辞,名詞接頭辞,代表表記:大/だい 反義:接頭辞-名詞接頭辞:小/しょう 内容語 換言:+N:Nが大きい,8,32
ふうせん,ふうせん,ふうせん,名詞,普通名詞,代表表記:風船/ふうせん カテゴリ:人工物-その他,8,32
は,は,は,助詞,副助詞,NIL,8,32
、,、,、,特殊,読点,NIL,8,32
もう,もう,もう,副詞,*,代表表記:もう/もう 数量修飾,8,32
、,、,、,特殊,読点,NIL,8,32
