見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
宝物,たからもの,宝物,名詞,普通名詞,代表表記:宝物/たからもの カテゴリ:抽象物,3,95
だ,だ,だ,判定詞,*,NIL,3,95
。,。,。,特殊,句点,NIL,3,95
これ,これ,これ,指示詞,名詞形態指示詞,NIL,3,96
を,を,を,助詞,格助詞,NIL,3,96
知恵,ちえ,知恵,名詞,普通名詞,代表表記:知恵/ちえ カテゴリ:抽象物,3,96
くらべ,くらべ,くらべ,名詞,普通名詞,代表表記:比べ/くらべv 連用形名詞化:比べる/くらべる,3,96
の,の,の,助詞,接続助詞,NIL,3,96
賞,しょう,賞,名詞,普通名詞,代表表記:賞/しょう カテゴリ:抽象物 漢字読み:音,3,96
に,に,に,助詞,格助詞,NIL,3,96
出す,だす,出す,動詞,*,代表表記:出す/だす 反義:動詞:隠す/かくす;動詞:入れる/いれる 自他動詞:自:出る/でる 補文ト 付属動詞候補（基本）,3,96
のだ,のだ,のだ,助動詞,*,NIL,3,96
よ,よ,よ,助詞,終助詞,NIL,3,96
。,。,。,特殊,句点,NIL,3,96
この,この,この,指示詞,連体詞形態指示詞,NIL,3,97
黄金,おうごん,黄金,名詞,普通名詞,代表表記:黄金/おうごん カテゴリ:人工物-その他;色,3,97
の,の,の,助詞,接続助詞,NIL,3,97
トラ,とら,トラ,名詞,普通名詞,代表表記:虎/とら カテゴリ:動物,3,97
を,を,を,助詞,格助詞,NIL,3,97
、,、,、,特殊,読点,NIL,3,97
いま,いま,いま,名詞,時相名詞,代表表記:今/いま カテゴリ:時間 漢字読み:訓,3,97
きみ,きみ,きみ,名詞,普通名詞,代表表記:君/きみ カテゴリ:人 漢字読み:訓,3,97
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,3,97
に,に,に,助詞,格助詞,NIL,3,97
渡す,わたす,渡す,動詞,*,代表表記:渡す/わたす 自他動詞:自:渡る/わたる 付属動詞候補（基本）,3,97
から,から,から,助詞,接続助詞,NIL,3,97
、,、,、,特殊,読点,NIL,3,97
きみ,きみ,きみ,名詞,普通名詞,代表表記:君/きみ カテゴリ:人 漢字読み:訓,3,97
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,3,97
は,は,は,助詞,副助詞,NIL,3,97
、,、,、,特殊,読点,NIL,3,97
これ,これ,これ,指示詞,名詞形態指示詞,NIL,3,97
を,を,を,助詞,格助詞,NIL,3,97
どこ,どこ,どこ,指示詞,名詞形態指示詞,代表表記:どこ/どこ,3,97
か,か,か,助詞,接続助詞,NIL,3,97
へ,へ,へ,助詞,格助詞,NIL,3,97
かくす,かくす,かくす,動詞,*,代表表記:画す/かくす 同義:動詞:画する/かくする,3,97
のだ,のだ,のだ,助動詞,*,NIL,3,97
。,。,。,特殊,句点,NIL,3,97
わし,わし,わし,名詞,普通名詞,代表表記:わし/わし カテゴリ:人,3,98
は,は,は,助詞,副助詞,NIL,3,98
、,、,、,特殊,読点,NIL,3,98
それ,それ,それ,指示詞,名詞形態指示詞,NIL,3,98
を,を,を,助詞,格助詞,NIL,3,98
さがし,さがし,さがす,動詞,*,代表表記:捜す/さがす,3,98
だして,だして,だす,動詞,*,代表表記:出す/だす 反義:動詞:隠す/かくす;動詞:入れる/いれる 自他動詞:自:出る/でる 補文ト 付属動詞候補（基本）,3,98
盗んで,ぬすんで,盗む,動詞,*,代表表記:盗む/ぬすむ,3,98
みせる,みせる,みせる,動詞,*,代表表記:見せる/みせる 付属動詞候補（タ系） 使役動詞:見る/みる,3,98
。,。,。,特殊,句点,NIL,3,98
すると,すると,すると,接続詞,*,代表表記:すると/すると,3,99
、,、,、,特殊,読点,NIL,3,99
こんど,こんど,こんど,名詞,時相名詞,代表表記:今度/こんど カテゴリ:時間,3,99
きみ,きみ,きみ,名詞,普通名詞,代表表記:君/きみ カテゴリ:人 漢字読み:訓,3,99
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,3,99
が,が,が,助詞,格助詞,NIL,3,99
、,、,、,特殊,読点,NIL,3,99
わし,わし,わし,名詞,普通名詞,代表表記:わし/わし カテゴリ:人,3,99
を,を,を,助詞,格助詞,NIL,3,99
見つけ,みつけ,見つける,動詞,*,代表表記:見付ける/みつける 自他動詞:自:見付かる/みつかる,3,99
